city,state,station,latitude,longitude,PM10,AQI,AQI_Category
Gorakhpur,Uttar_Pradesh,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",26.730136,83.433859,124.0,116,Moderate
Hyderabad,Telangana,"New Malakpet, Hyderabad - TSPCB",17.37206,78.50864,58.0,58,Satisfactory
Hyderabad,Telangana,"IDA Pashamylaram, Hyderabad - TSPCB",17.5316895,78.218939,70.0,70,Satisfactory
Hyderabad,Telangana,"IITH Kandi, Hyderabad - TSPCB",17.585705,78.126199,61.0,61,Satisfactory
Hapur,Uttar_Pradesh,"Anand Vihar, Hapur - UPPCB",28.725645,77.749675,89.0,89,Satisfactory
Jhansi,Uttar_Pradesh,"Shivaji Nagar, Jhansi - UPPCB",25.4547,78.6039,71.0,71,Satisfactory
Kanpur,Uttar_Pradesh,"FTI Kidwai Nagar, Kanpur - UPPCB",26.428282,80.327067,86.0,86,Satisfactory
Kanpur,Uttar_Pradesh,"NSI Kalyanpur, Kanpur - UPPCB",26.509954,80.249612,89.0,89,Satisfactory
Kanpur,Uttar_Pradesh,"Nehru Nagar, Kanpur - UPPCB",26.4703136,80.3229863,73.0,73,Satisfactory
Varanasi,Uttar_Pradesh,"Ardhali Bazar, Varanasi - UPPCB",25.3505986,82.9083074,55.0,55,Satisfactory
Lucknow,Uttar_Pradesh,"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119,77.0,77,Satisfactory
Lucknow,Uttar_Pradesh,"Kukrail Picnic Spot-1, Lucknow - UPPCB",26.90723,80.98579,64.0,64,Satisfactory
Haldia,West_Bengal,"Priyambada Housing Estate, Haldia - WBPCB",22.06047,88.109737,24.0,24,Good
Siliguri,West_Bengal,"Ward-32 Bapupara, Siliguri - WBPCB",26.6879226,88.4152495,35.0,35,Good
